"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 12:37:40 UTC 2025","Tue Jul 22 12:37:41 UTC 2025","977","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithoutToken","Create note without token",""
"passed","Tue Jul 22 12:38:02 UTC 2025","Tue Jul 22 12:38:03 UTC 2025","830","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithDuplicateEmail","Register with duplicate email",""
"passed","Tue Jul 22 12:31:54 UTC 2025","Tue Jul 22 12:32:03 UTC 2025","8807","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","validSendingResetPassword","Send password reset request to valid email",""
"passed","Tue Jul 22 12:31:48 UTC 2025","Tue Jul 22 12:31:54 UTC 2025","6338","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","sendingResetPasswordByEnter","Send password reset request using Enter",""
"passed","Tue Jul 22 12:32:53 UTC 2025","Tue Jul 22 12:32:58 UTC 2025","4497","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases Empty input",""
"passed","Tue Jul 22 12:36:59 UTC 2025","Tue Jul 22 12:37:06 UTC 2025","6385","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Email instead of username",""
"passed","Tue Jul 22 12:33:48 UTC 2025","Tue Jul 22 12:33:54 UTC 2025","6367","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios SQL injection in username",""
"passed","Tue Jul 22 12:36:15 UTC 2025","Tue Jul 22 12:36:21 UTC 2025","6383","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration XSS attempt in username",""
"passed","Tue Jul 22 12:32:11 UTC 2025","Tue Jul 22 12:32:15 UTC 2025","4988","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases XSS img tag",""
"passed","Tue Jul 22 12:34:26 UTC 2025","Tue Jul 22 12:34:36 UTC 2025","9888","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","checkLogout","Successful logout after login",""
"passed","Tue Jul 22 12:37:06 UTC 2025","Tue Jul 22 12:37:12 UTC 2025","6318","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","registerWithMaxLengthUsername","Register with 39-character username",""
"passed","Tue Jul 22 12:32:20 UTC 2025","Tue Jul 22 12:32:25 UTC 2025","4757","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases SQL OR 1=1",""
"passed","Tue Jul 22 12:37:59 UTC 2025","Tue Jul 22 12:37:59 UTC 2025","610","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","checkApiServerHealth","Check API server health",""
"passed","Tue Jul 22 12:32:15 UTC 2025","Tue Jul 22 12:32:20 UTC 2025","4866","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases XSS javascript:",""
"passed","Tue Jul 22 12:38:06 UTC 2025","Tue Jul 22 12:38:07 UTC 2025","1048","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","updateProfile_shouldSucceed","Profile update succeeds",""
"passed","Tue Jul 22 12:38:03 UTC 2025","Tue Jul 22 12:38:03 UTC 2025","790","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","resetPassword_withMockToken_shouldReturnResponse","Password reset works with mock token (simulation)",""
"passed","Tue Jul 22 12:37:29 UTC 2025","Tue Jul 22 12:37:36 UTC 2025","6918","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","checkApiServerHealth","Check API server health",""
"passed","Tue Jul 22 12:36:40 UTC 2025","Tue Jul 22 12:36:47 UTC 2025","6377","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Username in uppercase only",""
"passed","Tue Jul 22 12:38:01 UTC 2025","Tue Jul 22 12:38:02 UTC 2025","1089","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","changePassword","Change password",""
"passed","Tue Jul 22 12:33:29 UTC 2025","Tue Jul 22 12:33:35 UTC 2025","6415","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios Empty username",""
"passed","Tue Jul 22 12:36:21 UTC 2025","Tue Jul 22 12:36:28 UTC 2025","6288","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Password length 40 characters",""
"passed","Tue Jul 22 12:33:03 UTC 2025","Tue Jul 22 12:33:08 UTC 2025","5221","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases Very long domain",""
