"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 15:45:19 MSK 2025","Sat Jul 19 15:45:21 MSK 2025","1396","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","resetPassword_withMockToken_shouldReturnResponse","Сброс пароля работает при фиктивном токене (эмуляция)",""
"passed","Sat Jul 19 15:48:50 MSK 2025","Sat Jul 19 15:48:56 MSK 2025","6210","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина XSS в username",""
"passed","Sat Jul 19 15:42:56 MSK 2025","Sat Jul 19 15:43:03 MSK 2025","6611","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Пустой пароль",""
"failed","Sat Jul 19 15:45:08 MSK 2025","Sat Jul 19 15:45:09 MSK 2025","315","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","updateNote","Обновление заметки по ID",""
"passed","Sat Jul 19 15:51:36 MSK 2025","Sat Jul 19 15:51:38 MSK 2025","1283","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","checkApiServerHealth","Проверка работоспособности сервера API",""
"passed","Sat Jul 19 15:45:25 MSK 2025","Sat Jul 19 15:45:27 MSK 2025","1869","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","loginWithWrongPassword","Логин с неверным паролем",""
"passed","Sat Jul 19 15:50:02 MSK 2025","Sat Jul 19 15:50:09 MSK 2025","6470","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","validSendingResetPassword","Отправка смены пароля на валидный email",""
"passed","Sat Jul 19 15:51:45 MSK 2025","Sat Jul 19 15:51:46 MSK 2025","1590","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","changePassword","Меняем пароль",""
"passed","Sat Jul 19 15:49:15 MSK 2025","Sat Jul 19 15:49:26 MSK 2025","10552","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","checkLogout","Успешный логаут после входа",""
"failed","Sat Jul 19 15:45:02 MSK 2025","Sat Jul 19 15:45:06 MSK 2025","3668","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","checkApiServerHealth","Проверка работоспособности сервера API",""
"passed","Sat Jul 19 15:49:03 MSK 2025","Sat Jul 19 15:49:09 MSK 2025","6206","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина Пароль с пробелом",""
"passed","Sat Jul 19 15:40:13 MSK 2025","Sat Jul 19 15:40:26 MSK 2025","13640","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","loginWithRegularUsername","Успешный логин с обычным username",""
"passed","Sat Jul 19 15:45:15 MSK 2025","Sat Jul 19 15:45:16 MSK 2025","1327","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","getProfile_shouldReturnCorrectData","Профиль возвращается корректно для авторизованного пользователя",""
"passed","Sat Jul 19 15:40:26 MSK 2025","Sat Jul 19 15:40:33 MSK 2025","6498","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина Пустые поля",""
"passed","Sat Jul 19 15:51:00 MSK 2025","Sat Jul 19 15:51:05 MSK 2025","5062","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password Только цифры",""
"passed","Sat Jul 19 15:49:50 MSK 2025","Sat Jul 19 15:49:56 MSK 2025","6216","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","sendingResetPasswordByTabSpace","Сброс пароля через Tab → Space",""
